epoch,train_loss,val_loss,val_mse_reg,val_iou_row
1,0.25105222878977657,0.13196510538972658,0.0039047527986032695,0.4624069356198969
2,0.1247160880593583,0.1226218332504404,0.002821892616339028,0.49313241705812255
3,0.10827139067463577,0.11546448412640341,0.0027439510008191756,0.5253502906396471
4,0.09447714523412287,0.12038153358574571,0.0025906173134993375,0.5511352692184777
5,0.08363823531661183,0.12820181173497233,0.002537643191693672,0.5469418255419567
6,0.07228268979117275,0.1279086459042697,0.0027299838959528454,0.5360055149629198
7,0.06483553393278271,0.15081063940607267,0.0024366150128430335,0.5385529239629877
8,0.05659987254999578,0.14704078089060454,0.0024307753954981937,0.5433065588104313
9,0.05145793621893972,0.14779386528093238,0.002481259321312195,0.5391965344034392
10,0.04669341998873278,0.15525338362003194,0.002451556425637983,0.5477352394112225
11,0.04324425915954635,0.166174100390796,0.0023971980293120802,0.5368730790656189
12,0.03941485887160525,0.17833082185223184,0.0023784729660135404,0.5521788504616968
13,0.03577914978610352,0.17264030963696284,0.0026715427821759007,0.5388363908077108
14,0.033832127714995296,0.186815544962883,0.002428195029818292,0.5397543968825504
15,0.03099535602494143,0.18111433242929392,0.002404462337365438,0.5446196131665131
16,0.029690464197192342,0.191082997825639,0.0024123166462984577,0.5497907410407888
17,0.028218188730534166,0.21291570545270525,0.0023839201754087516,0.553791841556286
18,0.02656354454928078,0.20490080940312352,0.002380500435186871,0.5563307795031317
19,0.02488888251129538,0.20792984936771722,0.002419997050812275,0.5538207662516627
20,0.024539494384080172,0.20646744144373927,0.002362749250284557,0.5557106938855402
21,0.023837818645406513,0.2094839117650328,0.002391347344483024,0.5522470679776422
22,0.023630552570102735,0.21640415040069613,0.00237458811446639,0.5554260282680906
23,0.023724962121341377,0.2164896004672708,0.0023485937292270108,0.5547310689399982
