epoch,train_loss,val_loss,val_mse_reg,val_iou_row
1,0.2805182081647217,0.18958798795938492,0.0082091327178581,0.4822277467826317
2,0.17539426350034773,0.1688462272286415,0.006972635221057411,0.5313607279596657
3,0.13981206913478672,0.1647296005795742,0.006825736515095522,0.45619399331766985
4,0.11457992463372647,0.1615365725652925,0.006658549396449636,0.5349436119712633
5,0.09561549988109619,0.17282205306250473,0.006610264608251123,0.529689364392182
6,0.07773752417881041,0.1996968637766509,0.008056595110623488,0.5360598718297893
7,0.06485637496225535,0.18865174080791144,0.007137896990853137,0.5097054366407723
8,0.056742025353014466,0.19732481241226196,0.0069177811483627765,0.5283902652304748
9,0.04953910554060712,0.19769400460966702,0.006886777660713114,0.5297639092494701
10,0.04394446987658739,0.21901477821942034,0.00685498500563975,0.5332160134767664
11,0.041274032916408035,0.21233076062695733,0.006675708276251781,0.5304651260375977
12,0.03737007445655763,0.22365382827561478,0.006988351442048262,0.5429026417691132
13,0.035804394884034994,0.22265176629198008,0.006691525417283691,0.5277770521311924
14,0.03306620039278641,0.21764528160465174,0.006829688606526831,0.5507386532323114
15,0.03304971053963527,0.2365787106341329,0.006515455087004551,0.5460802337218975
16,0.03222280671820044,0.23238109514631075,0.007423731289675523,0.540033573220516
17,0.03026165003539063,0.23474615786609979,0.007168580103537132,0.534475056775685
18,0.028791174168,0.24113056243493639,0.006876706169789721,0.545506601703578
19,0.028299774259794505,0.24051262258455672,0.007160622690772188,0.5491738473546917
20,0.027999776280485094,0.25495439921987467,0.006640187761714232,0.547413230456155
21,0.026657946024788545,0.2410524315361319,0.007093166876263146,0.5360220937893309
22,0.026086935154162348,0.24476695574563126,0.006906974554896869,0.5542814371914699
23,0.02582328893011436,0.2427813503248938,0.006880017816378125,0.5490441646041542
24,0.024335843358421698,0.25087153911590576,0.0069257310142034085,0.5372451980566156
